iter	Passed	Remaining
0	0	657
1	1	651
2	1	592
3	2	556
4	2	544
5	3	530
6	3	518
7	4	508
8	4	500
9	4	494
10	5	487
11	5	484
12	6	482
13	6	479
14	7	476
15	7	476
16	8	475
17	8	475
18	9	476
19	9	476
20	10	476
21	10	474
22	11	474
23	11	475
24	12	477
25	12	476
26	13	475
27	13	473
28	14	473
29	14	472
30	15	472
31	15	471
32	16	470
33	16	469
34	17	469
35	17	469
36	17	467
37	18	471
38	19	471
39	19	470
40	20	469
41	20	468
42	21	468
43	21	469
44	22	468
45	22	467
46	22	466
47	23	465
48	23	464
49	24	463
50	24	462
51	25	461
52	25	460
53	26	459
54	26	458
55	27	457
56	27	456
57	28	456
58	28	456
59	29	455
60	29	454
61	29	453
62	30	453
63	30	452
64	31	452
65	31	451
66	32	451
67	32	451
68	33	451
69	33	451
70	34	450
71	34	450
72	35	449
73	35	450
74	36	449
75	36	448
76	37	448
77	37	448
78	38	447
79	38	446
80	39	446
81	39	445
82	40	445
83	40	444
84	41	443
85	41	442
86	42	442
87	42	441
88	43	440
89	43	439
90	43	439
91	44	438
92	44	438
93	45	438
94	45	437
95	46	438
96	47	438
97	47	437
98	48	437
99	48	437
100	49	436
101	49	436
102	50	435
103	50	435
104	50	434
105	51	433
106	51	432
107	52	431
108	52	431
109	53	430
110	53	429
111	54	428
112	54	427
113	54	426
114	55	426
115	55	425
116	56	425
117	56	424
118	57	424
119	57	424
120	58	423
121	58	422
122	59	422
123	59	421
124	60	421
125	60	420
126	61	420
127	61	419
128	61	418
129	62	417
130	62	417
131	63	416
132	63	416
133	64	415
134	64	415
135	65	414
136	65	414
137	66	413
138	66	413
139	67	412
140	67	411
141	68	410
142	68	410
143	68	409
144	69	408
145	69	408
146	70	407
147	70	406
148	71	406
149	71	405
150	72	405
151	72	404
152	72	403
153	73	403
154	73	402
155	74	402
156	74	402
157	75	401
158	75	401
159	76	400
160	76	399
161	77	399
162	77	398
163	77	397
164	78	396
165	78	396
166	79	395
167	79	395
168	80	394
169	80	393
170	81	393
171	81	392
172	82	392
173	82	391
174	82	391
175	83	390
176	83	389
177	84	389
178	84	388
179	85	388
180	85	387
181	86	386
182	86	386
183	86	385
184	87	385
185	87	384
186	88	383
187	88	383
188	89	382
189	89	381
190	90	381
191	90	381
192	91	380
193	91	380
194	92	379
195	92	379
196	92	378
197	93	378
198	93	377
199	94	377
200	94	376
201	95	376
202	95	375
203	96	375
204	96	374
205	97	373
206	97	373
207	97	373
208	98	372
209	98	371
210	99	371
211	99	371
212	100	370
213	100	369
214	101	369
215	101	368
216	101	367
217	102	367
218	102	366
219	103	366
220	103	366
221	104	365
222	104	365
223	105	364
224	105	364
225	106	363
226	106	363
227	107	363
228	107	362
229	108	362
230	108	361
231	109	361
232	109	360
233	109	360
234	110	359
235	110	359
236	111	358
237	111	357
238	112	357
239	112	356
240	113	356
241	113	355
242	113	355
243	114	354
244	114	353
245	115	353
246	115	352
247	116	352
248	116	352
249	117	351
250	117	351
251	118	350
252	118	350
253	119	349
254	119	349
255	119	348
256	120	348
257	121	348
258	121	347
259	121	346
260	122	346
261	122	345
262	123	345
263	123	344
264	124	343
265	124	343
266	124	342
267	125	342
268	125	341
269	126	341
270	126	340
271	127	340
272	127	339
273	127	339
274	128	338
275	128	338
276	129	337
277	129	337
278	130	336
279	130	335
280	131	335
281	131	335
282	132	334
283	132	333
284	132	333
285	133	332
286	133	332
287	134	332
288	134	331
289	135	331
290	135	330
291	136	329
